HOUR,DATE_MILADI,DATE_SHAMSI,POWER,CODE,UNIT_NO,DAMA,ROTOOBAT,12209_G13,12210_G13,practical,ebraz,importance_factor,DELTAPI,P_Dec_old,P_test_old,P_Act,E_TGU,Avcap_Min
1,3/21/2021 0:00,1400/01/01,132,LF1,3,4,88,12.8,9.6,,143,,2,140.14,138.14,132,129.36,
2,3/21/2021 1:00,1400/01/01,133,LF1,3,4,85,12.8,9.6,,143.8,,2,140.924,138.924,133,130.34,
3,3/21/2021 2:00,1400/01/01,110,LF1,3,4,83,12.8,9.6,,143.8,,2,140.924,138.924,110,107.8,
4,3/21/2021 3:00,1400/01/01,110,LF1,3,3,85,12.8,9.6,,144.7,,2,141.806,139.806,110,107.8,
5,3/21/2021 4:00,1400/01/01,110,LF1,3,2,87,12.8,9.6,,144.7,,2,141.806,139.806,110,107.8,
6,3/21/2021 5:00,1400/01/01,110,LF1,3,2,87,12.8,9.6,,144.7,,2,141.806,139.806,110,107.8,
7,3/21/2021 6:00,1400/01/01,110,LF1,3,2,90,12.8,9.6,,143.8,,2,140.924,138.924,110,107.8,
8,3/21/2021 7:00,1400/01/01,110,LF1,3,5,61,12.8,9.6,,142.2,,2,139.356,137.356,110,107.8,
9,3/21/2021 8:00,1400/01/01,110,LF1,3,10,14,12.8,9.6,,140.5,,2,137.69,135.69,110,107.8,
10,3/21/2021 9:00,1400/01/01,110,LF1,3,13,7,12.8,9.6,,144.7,,2,141.806,139.806,110,107.8,
11,3/21/2021 10:00,1400/01/01,121,SO,3,17,5,12.8,9.6,,143.8,,2,140.924,138.924,121,118.58,
12,3/21/2021 11:00,1400/01/01,123,SO,3,17,9,12.8,9.6,,143,,2,140.14,138.14,123,120.54,
13,3/21/2021 12:00,1400/01/01,123,SO,3,19,10,12.8,9.6,,143,,2,140.14,138.14,123,120.54,
14,3/21/2021 13:00,1400/01/01,122,SO,3,19,12,12.8,9.6,,143,,2,140.14,138.14,122,119.56,
15,3/21/2021 14:00,1400/01/01,122,SO,3,20,12,12.8,9.6,,143,,2,140.14,138.14,122,119.56,
16,3/21/2021 15:00,1400/01/01,122,SO,3,19,23,12.8,9.6,,143.8,,2,140.924,138.924,122,119.56,
17,3/21/2021 16:00,1400/01/01,123,SO,3,16,34,12.8,9.6,,144.7,,2,141.806,139.806,123,120.54,
18,3/21/2021 17:00,1400/01/01,124,SO,3,12,42,12.8,9.6,,141.3,,2,138.474,136.474,124,121.52,
19,3/21/2021 18:00,1400/01/01,125,SO,3,10,49,12.8,9.6,,141.3,,2,138.474,136.474,125,122.5,
20,3/21/2021 19:00,1400/01/01,125,SO,3,9,59,12.8,9.6,,142.2,,2,139.356,137.356,125,122.5,
21,3/21/2021 20:00,1400/01/01,125,SO,3,8,58,12.8,9.6,,142.2,,2,139.356,137.356,125,122.5,
22,3/21/2021 21:00,1400/01/01,125,SO,3,7,59,12.8,9.6,,142.2,,2,139.356,137.356,125,122.5,
23,3/21/2021 22:00,1400/01/01,125,SO,3,7,63,12.8,9.6,,142.2,,2,139.356,137.356,125,122.5,
24,3/21/2021 23:00,1400/01/02,125,SO,3,5,68,12.8,9.6,,143,,2,140.14,138.14,125,122.5,
1,3/22/2021 0:00,1400/01/02,130,SO,3,5,70,12.8,9.6,,143,,2,140.14,138.14,130,127.4,
2,3/22/2021 1:00,1400/01/02,130,SO,3,5,71,12.8,9.6,,143.8,,2,140.924,138.924,130,127.4,
3,3/22/2021 2:00,1400/01/02,130,SO,3,4,74,12.8,9.6,,143.8,,2,140.924,138.924,130,127.4,
4,3/22/2021 3:00,1400/01/02,128,SO,3,5,76,12.8,9.6,,144.7,,2,141.806,139.806,128,125.44,
5,3/22/2021 4:00,1400/01/02,127,SO,3,6,80,12.8,9.6,,144.7,,2,141.806,139.806,127,124.46,
6,3/22/2021 5:00,1400/01/02,126,SO,3,7,84,12.8,9.6,,145.5,,2,142.59,140.59,126,123.48,
7,3/22/2021 6:00,1400/01/02,128,SO,3,8,81,12.8,9.6,,143.8,,2,140.924,138.924,128,125.44,
8,3/22/2021 7:00,1400/01/02,128,SO,3,6,55,12.8,9.6,,142.2,,2,139.356,137.356,128,125.44,
9,3/22/2021 8:00,1400/01/02,128,SO,3,11,10.19999981,12.8,9.6,,140.5,,2,137.69,135.69,128,125.44,
10,3/22/2021 9:00,1400/01/02,128,SO,3,14,5.800000191,12.8,9.6,,144.7,,2,141.806,139.806,128,125.44,
11,3/22/2021 10:00,1400/01/02,125,SO,3,17,6,12.8,9.6,,143.8,,2,140.924,138.924,125,122.5,
12,3/22/2021 11:00,1400/01/02,123,SO,3,18,9.800000191,12.8,9.6,,143,,2,140.14,138.14,123,120.54,
13,3/22/2021 12:00,1400/01/02,123,SO,3,20,12,12.8,9.6,,143,,2,140.14,138.14,123,120.54,
14,3/22/2021 13:00,1400/01/02,122,SO,3,21,10.5,12.8,9.6,,143,,2,140.14,138.14,122,119.56,
15,3/22/2021 14:00,1400/01/02,122,SO,3,21,20,12.8,9.6,,143,,2,140.14,138.14,122,119.56,
16,3/22/2021 15:00,1400/01/02,122,SO,3,19,35,12.8,9.6,,143.8,,2,140.924,138.924,122,119.56,
17,3/22/2021 16:00,1400/01/02,122,SO,3,16,38,12.8,9.6,,144.7,,2,141.806,139.806,122,119.56,
18,3/22/2021 17:00,1400/01/02,125,SO,3,14,52,12.8,9.6,,141.3,,2,138.474,136.474,125,122.5,
19,3/22/2021 18:00,1400/01/02,125,SO,3,11,55.5,12.8,9.6,,141.3,,2,138.474,136.474,125,122.5,
20,3/22/2021 19:00,1400/01/02,125,SO,3,10,63,12.8,9.6,,142.2,,2,139.356,137.356,125,122.5,
21,3/22/2021 20:00,1400/01/02,127,SO,3,9,67,12.8,9.6,,143,,2,140.14,138.14,127,124.46,
