HOUR,DATE_MILADI,DATE_SHAMSI,POWER,CODE,UNIT_NO,DAMA,ROTOOBAT,12209_G13,12210_G13,practical,ebraz,importance_factor,DELTAPI,P_Dec_old,P_test_old,P_Act
1,2021-03-21 00:00:00,1400/01/01,132,LF1,3,4,88.0,12.8,9.6,,143.0,,2.0,140.14,138.14,132
2,2021-03-21 01:00:00,1400/01/01,133,LF1,3,4,85.0,12.8,9.6,,143.8,,2.0,140.924,138.924,133
3,2021-03-21 02:00:00,1400/01/01,110,LF1,3,4,83.0,12.8,9.6,,143.8,,2.0,140.924,138.924,110
4,2021-03-21 03:00:00,1400/01/01,110,LF1,3,3,85.0,12.8,9.6,,144.7,,2.0,141.80599999999998,139.80599999999998,110
5,2021-03-21 04:00:00,1400/01/01,110,LF1,3,2,87.0,12.8,9.6,,144.7,,2.0,141.80599999999998,139.80599999999998,110
6,2021-03-21 05:00:00,1400/01/01,110,LF1,3,2,87.0,12.8,9.6,,144.7,,2.0,141.80599999999998,139.80599999999998,110
7,2021-03-21 06:00:00,1400/01/01,110,LF1,3,2,90.0,12.8,9.6,,143.8,,2.0,140.924,138.924,110
8,2021-03-21 07:00:00,1400/01/01,110,LF1,3,5,61.0,12.8,9.6,,142.2,,2.0,139.356,137.356,110
9,2021-03-21 08:00:00,1400/01/01,110,LF1,3,10,14.0,12.8,9.6,,140.5,,2.0,137.69,135.69,110
10,2021-03-21 09:00:00,1400/01/01,110,LF1,3,13,7.0,12.8,9.6,,144.7,,2.0,141.80599999999998,139.80599999999998,110
11,2021-03-21 10:00:00,1400/01/01,121,SO,3,17,5.0,12.8,9.6,,143.8,,2.0,140.924,138.924,121
12,2021-03-21 11:00:00,1400/01/01,123,SO,3,17,9.0,12.8,9.6,,143.0,,2.0,140.14,138.14,123
13,2021-03-21 12:00:00,1400/01/01,123,SO,3,19,10.0,12.8,9.6,,143.0,,2.0,140.14,138.14,123
14,2021-03-21 13:00:00,1400/01/01,122,SO,3,19,12.0,12.8,9.6,,143.0,,2.0,140.14,138.14,122
15,2021-03-21 14:00:00,1400/01/01,122,SO,3,20,12.0,12.8,9.6,,143.0,,2.0,140.14,138.14,122
16,2021-03-21 15:00:00,1400/01/01,122,SO,3,19,23.0,12.8,9.6,,143.8,,2.0,140.924,138.924,122
17,2021-03-21 16:00:00,1400/01/01,123,SO,3,16,34.0,12.8,9.6,,144.7,,2.0,141.80599999999998,139.80599999999998,123
18,2021-03-21 17:00:00,1400/01/01,124,SO,3,12,42.0,12.8,9.6,,141.3,,2.0,138.47400000000002,136.47400000000002,124
19,2021-03-21 18:00:00,1400/01/01,125,SO,3,10,49.0,12.8,9.6,,141.3,,2.0,138.47400000000002,136.47400000000002,125
