ID_NO,HOUR,DATE_MILADI,DATE_SHAMSI,POWER,CODE,UNIT_NO,ID_EBRAZ,DAMA,ROTOOBAT,TOTAL,TIMESTAMPS,12209_G13,12210_G13,ebraz,DATE,MA
1359867,0,2024-01-01 00:00:00,1402/10/11,90,SO,3,1271212,8.0,88.0,798.0,00:01.7,7.6,6.3,127.8,2024-01-01,
1359844,1,2024-01-01 01:00:00,1402/10/11,110,SO,3,1271189,9.0,89.0,744.0,00:01.7,10.2,9.3,127.8,2024-01-01,
1359845,2,2024-01-01 02:00:00,1402/10/11,135,SO,3,1271190,9.0,90.0,784.0,00:01.7,10.2,9.3,128.6,2024-01-01,
1359846,3,2024-01-01 03:00:00,1402/10/11,135,SO,3,1271191,8.0,90.0,788.0,00:01.7,10.2,9.3,128.6,2024-01-01,
1359847,4,2024-01-01 04:00:00,1402/10/11,136,SO,3,1271192,7.0,91.0,789.0,00:01.7,10.2,9.3,128.6,2024-01-01,
1359848,5,2024-01-01 05:00:00,1402/10/11,136,SO,3,1271193,6.0,93.0,785.0,00:01.7,10.2,9.3,129.5,2024-01-01,
1359849,6,2024-01-01 06:00:00,1402/10/11,136,SO,3,1271194,6.0,96.0,780.0,00:01.7,10.2,9.3,129.5,2024-01-01,
1359850,7,2024-01-01 07:00:00,1402/10/11,136,SO,3,1271195,6.0,96.0,780.0,00:01.7,10.4,9.3,127.8,2024-01-01,
1359851,8,2024-01-01 08:00:00,1402/10/11,137,SO,3,1271196,8.0,84.0,792.0,00:01.7,10.4,9.3,123.6,2024-01-01,
1359852,9,2024-01-01 09:00:00,1402/10/11,126,SO,3,1271197,13.0,47.0,760.0,00:01.7,10.4,9.3,121.1,2024-01-01,
1359853,10,2024-01-01 10:00:00,1402/10/11,126,SO,3,1271198,14.0,10.0,757.0,00:01.7,10.4,9.3,119.5,2024-01-01,
1359854,11,2024-01-01 11:00:00,1402/10/11,122,SO,3,1271199,17.0,7.0,747.0,00:01.7,8.8,9.1,117.8,2024-01-01,
1359855,12,2024-01-01 12:00:00,1402/10/11,100,SO,3,1271200,18.0,9.0,685.0,00:01.7,8.8,9.1,117.0,2024-01-01,
1359856,13,2024-01-01 13:00:00,1402/10/11,90,SO,3,1271201,18.0,35.0,650.0,00:01.7,8.8,9.1,117.0,2024-01-01,
1359857,14,2024-01-01 14:00:00,1402/10/11,90,SO,3,1271202,18.0,49.0,643.0,00:01.7,8.8,9.1,117.8,2024-01-01,
1359858,15,2024-01-01 15:00:00,1402/10/11,90,SO,3,1271203,18.0,42.0,650.0,00:01.7,7.5,7.4,118.6,2024-01-01,
1359859,16,2024-01-01 16:00:00,1402/10/11,90,SO,3,1271204,17.0,45.0,644.0,00:01.7,7.5,7.4,120.3,2024-01-01,
1359860,17,2024-01-01 17:00:00,1402/10/11,90,SO,3,1271205,16.0,55.0,645.0,00:01.7,7.5,7.4,122.8,2024-01-01,
1359861,18,2024-01-01 18:00:00,1402/10/11,90,SO,3,1271206,15.0,64.0,649.0,00:01.7,7.5,7.4,124.5,2024-01-01,
1359862,19,2024-01-01 19:00:00,1402/10/11,90,SO,3,1271207,13.0,71.0,648.0,00:01.7,6.8,7.0,125.3,2024-01-01,
1359863,20,2024-01-01 20:00:00,1402/10/11,90,SO,3,1271208,13.0,78.0,644.0,00:01.7,6.8,7.0,126.1,2024-01-01,
1359864,21,2024-01-01 21:00:00,1402/10/11,90,SO,3,1271209,11.0,84.0,666.0,00:01.7,6.8,7.0,126.1,2024-01-01,
1359865,22,2024-01-01 22:00:00,1402/10/11,90,SO,3,1271210,10.0,88.0,667.0,00:01.7,6.8,7.0,127.0,2024-01-01,
1359866,23,2024-01-01 23:00:00,1402/10/11,90,SO,3,1271211,8.0,84.0,712.0,00:01.7,7.2,7.1,127.8,2024-01-01,
1360083,0,2024-01-02 00:00:00,1402/10/12,0,FQ,3,1271428,8.0,88.0,687.0,00:01.7,7.2,7.1,124.7,2024-01-02,
1360060,1,2024-01-02 01:00:00,1402/10/12,90,SO,3,1271405,8.0,88.0,819.0,00:01.7,7.2,7.1,126.2,2024-01-02,
1360061,2,2024-01-02 02:00:00,1402/10/12,85,SO,3,1271406,7.0,90.0,795.0,00:01.7,7.2,7.1,126.2,2024-01-02,
1360062,3,2024-01-02 03:00:00,1402/10/12,85,SO,3,1271407,6.0,94.0,801.0,00:01.7,7.4,7.4,126.2,2024-01-02,
1360063,4,2024-01-02 04:00:00,1402/10/12,85,SO,3,1271408,5.0,95.0,800.0,00:01.7,7.4,7.4,126.2,2024-01-02,
1360064,5,2024-01-02 05:00:00,1402/10/12,85,SO,3,1271409,5.0,93.0,796.0,00:01.7,7.4,7.4,127.0,2024-01-02,
1360065,6,2024-01-02 06:00:00,1402/10/12,85,SO,3,1271410,5.0,95.0,799.0,00:01.7,7.4,7.4,127.0,2024-01-02,
1360066,7,2024-01-02 07:00:00,1402/10/12,85,SO,3,1271411,4.0,94.0,799.0,00:01.7,7.7,7.5,126.2,2024-01-02,
1360067,8,2024-01-02 08:00:00,1402/10/12,90,SO,3,1271412,6.0,80.0,810.0,00:01.7,7.7,7.5,125.3,2024-01-02,
1360068,9,2024-01-02 09:00:00,1402/10/12,92,SO,3,1271413,12.0,12.0,817.0,00:01.7,7.7,7.5,128.7,2024-01-02,
1360069,10,2024-01-02 10:00:00,1402/10/12,99,LG3,3,1271414,14.0,12.0,848.0,00:01.7,7.7,7.5,127.8,2024-01-02,
1360070,11,2024-01-02 11:00:00,1402/10/12,92,LG3,3,1271415,16.0,8.0,821.0,00:01.7,7.0,7.0,127.8,2024-01-02,
1360071,12,2024-01-02 12:00:00,1402/10/12,85,LG3,3,1271416,17.0,10.0,767.0,00:01.7,7.0,7.0,127.0,2024-01-02,
1360072,13,2024-01-02 13:00:00,1402/10/12,85,LG3,3,1271417,19.0,14.0,756.0,00:01.7,7.0,7.0,127.0,2024-01-02,
1360073,14,2024-01-02 14:00:00,1402/10/12,85,LG3,3,1271418,20.0,15.0,754.0,00:01.7,7.0,7.0,127.0,2024-01-02,
1360074,15,2024-01-02 15:00:00,1402/10/12,85,LG3,3,1271419,20.0,18.0,752.0,00:01.7,7.0,7.1,127.8,2024-01-02,
1360075,16,2024-01-02 16:00:00,1402/10/12,85,LG3,3,1271420,19.0,41.0,753.0,00:01.7,7.0,7.1,124.5,2024-01-02,
