HOUR,DATE_MILADI,DATE_SHAMSI,POWER,CODE,UNIT_NO,DAMA,ROTOOBAT,12209_G13,12210_G13,practical,ebraz,importance_factor,DATE,MA
0,2023-12-02 00:00:00,1402/09/10,0,PO,3,9,93.0,16.2,9.1,,0.0,,2023-12-02,0
1,2023-12-02 01:00:00,1402/09/10,0,PO,3,9,92.0,16.2,9.1,,0.0,,2023-12-02,0
2,2023-12-02 02:00:00,1402/09/10,0,PO,3,8,93.0,16.2,9.1,,0.0,,2023-12-02,0
3,2023-12-02 03:00:00,1402/09/10,0,PO,3,7,90.0,16.2,9.1,,0.0,,2023-12-02,0
4,2023-12-02 04:00:00,1402/09/10,0,PO,3,6,91.0,16.2,9.1,,0.0,,2023-12-02,0
5,2023-12-02 05:00:00,1402/09/10,0,PO,3,6,95.0,16.2,9.1,,0.0,,2023-12-02,0
6,2023-12-02 06:00:00,1402/09/10,0,PO,3,6,96.0,16.2,9.1,,0.0,,2023-12-02,0
7,2023-12-02 07:00:00,1402/09/10,0,PO,3,9,67.0,16.2,9.1,,0.0,,2023-12-02,0
8,2023-12-02 08:00:00,1402/09/10,0,PO,3,15,10.0,16.2,9.1,,0.0,,2023-12-02,0
9,2023-12-02 09:00:00,1402/09/10,0,PO,3,17,9.0,16.2,9.1,,0.0,,2023-12-02,0
10,2023-12-02 10:00:00,1402/09/10,0,PO,3,20,9.0,16.2,9.1,,0.0,,2023-12-02,0
11,2023-12-02 11:00:00,1402/09/10,0,PO,3,23,9.0,16.2,9.1,,0.0,,2023-12-02,0
12,2023-12-02 12:00:00,1402/09/10,0,PO,3,23,7.0,16.2,9.1,,0.0,,2023-12-02,0
13,2023-12-02 13:00:00,1402/09/10,0,PO,3,23,10.0,16.2,9.1,,0.0,,2023-12-02,0
14,2023-12-02 14:00:00,1402/09/10,0,PO,3,24,12.0,16.2,9.1,,0.0,,2023-12-02,0
15,2023-12-02 15:00:00,1402/09/10,0,PO,3,22,21.0,16.2,9.1,,0.0,,2023-12-02,0
16,2023-12-02 16:00:00,1402/09/10,0,PO,3,18,30.0,16.2,9.1,,0.0,,2023-12-02,0
17,2023-12-02 17:00:00,1402/09/10,0,PO,3,15,40.0,16.2,9.1,,0.0,,2023-12-02,0
18,2023-12-02 18:00:00,1402/09/10,0,PO,3,14,54.0,16.2,9.1,,0.0,,2023-12-02,0
19,2023-12-02 19:00:00,1402/09/10,0,PO,3,13,65.0,16.2,9.1,,0.0,,2023-12-02,0
20,2023-12-02 20:00:00,1402/09/10,0,PO,3,11,68.0,16.2,9.1,,0.0,,2023-12-02,0
21,2023-12-02 21:00:00,1402/09/10,0,PO,3,9,73.0,16.2,9.1,,0.0,,2023-12-02,0
22,2023-12-02 22:00:00,1402/09/10,0,PO,3,9,71.0,16.2,9.1,,0.0,,2023-12-02,0
23,2023-12-02 23:00:00,1402/09/11,0,PO,3,8,73.0,16.2,9.1,,0.0,,2023-12-02,0
0,2023-12-03 00:00:00,1402/09/11,0,PO,3,8,74.0,16.2,9.1,,0.0,,2023-12-03,0
1,2023-12-03 01:00:00,1402/09/11,0,PO,3,7,76.0,16.2,9.1,,0.0,,2023-12-03,0
2,2023-12-03 02:00:00,1402/09/11,0,PO,3,7,76.0,16.2,9.1,,0.0,,2023-12-03,0
3,2023-12-03 03:00:00,1402/09/11,0,PO,3,6,84.0,16.2,9.1,,0.0,,2023-12-03,0
4,2023-12-03 04:00:00,1402/09/11,0,PO,3,5,83.0,16.2,9.1,,0.0,,2023-12-03,0
5,2023-12-03 05:00:00,1402/09/11,0,PO,3,5,80.0,16.2,9.1,,0.0,,2023-12-03,0
6,2023-12-03 06:00:00,1402/09/11,0,PO,3,5,82.0,16.2,9.1,,0.0,,2023-12-03,0
7,2023-12-03 07:00:00,1402/09/11,0,PO,3,9,57.0,16.2,9.1,,0.0,,2023-12-03,0
8,2023-12-03 08:00:00,1402/09/11,0,PO,3,13,12.0,16.2,9.1,,0.0,,2023-12-03,0
9,2023-12-03 09:00:00,1402/09/11,0,PO,3,16,5.0,16.2,9.1,,0.0,,2023-12-03,0
10,2023-12-03 10:00:00,1402/09/11,0,PO,3,19,8.0,16.2,9.1,,0.0,,2023-12-03,0
11,2023-12-03 11:00:00,1402/09/11,0,PO,3,22,11.0,16.2,9.1,,0.0,,2023-12-03,0
12,2023-12-03 12:00:00,1402/09/11,0,PO,3,23,6.0,16.2,9.1,,0.0,,2023-12-03,0
13,2023-12-03 13:00:00,1402/09/11,0,PO,3,24,7.0,16.2,9.1,,0.0,,2023-12-03,0
14,2023-12-03 14:00:00,1402/09/11,0,PO,3,24,8.0,16.2,9.1,,0.0,,2023-12-03,0
15,2023-12-03 15:00:00,1402/09/11,0,PO,3,23,16.0,16.2,9.1,,0.0,,2023-12-03,0
16,2023-12-03 16:00:00,1402/09/11,0,PO,3,17,20.0,16.2,9.1,,0.0,,2023-12-03,0
17,2023-12-03 17:00:00,1402/09/11,0,PO,3,14,32.0,16.2,9.1,,0.0,,2023-12-03,0
18,2023-12-03 18:00:00,1402/09/11,0,PO,3,14,37.0,16.2,9.1,,0.0,,2023-12-03,0
19,2023-12-03 19:00:00,1402/09/11,0,PO,3,11,52.0,16.2,9.1,,0.0,,2023-12-03,0
20,2023-12-03 20:00:00,1402/09/11,0,PO,3,10,55.0,16.2,9.1,,0.0,,2023-12-03,0
21,2023-12-03 21:00:00,1402/09/11,0,PO,3,9,56.0,16.2,9.1,,0.0,,2023-12-03,0
22,2023-12-03 22:00:00,1402/09/11,0,PO,3,9,56.0,16.2,9.1,,0.0,,2023-12-03,0
23,2023-12-03 23:00:00,1402/09/12,0,PO,3,8,62.0,16.2,9.1,,0.0,,2023-12-03,0
0,2023-12-04 00:00:00,1402/09/12,0,PO,3,7,64.0,16.2,9.1,,0.0,,2023-12-04,0
1,2023-12-04 01:00:00,1402/09/12,0,PO,3,6,65.0,16.2,9.1,,0.0,,2023-12-04,0
2,2023-12-04 02:00:00,1402/09/12,0,PO,3,6,68.0,16.2,9.1,,0.0,,2023-12-04,0
3,2023-12-04 03:00:00,1402/09/12,0,PO,3,6,68.0,16.2,9.1,,0.0,,2023-12-04,0
4,2023-12-04 04:00:00,1402/09/12,0,PO,3,5,67.0,16.2,9.1,,0.0,,2023-12-04,0
5,2023-12-04 05:00:00,1402/09/12,0,PO,3,5,67.0,16.2,9.1,,0.0,,2023-12-04,0
6,2023-12-04 06:00:00,1402/09/12,0,PO,3,5,67.0,16.2,9.1,,0.0,,2023-12-04,0
7,2023-12-04 07:00:00,1402/09/12,0,PO,3,10,45.0,16.2,9.1,,0.0,,2023-12-04,0
8,2023-12-04 08:00:00,1402/09/12,0,PO,3,13,30.0,16.2,9.1,,0.0,,2023-12-04,0
9,2023-12-04 09:00:00,1402/09/12,0,PO,3,15,5.0,16.2,9.1,,0.0,,2023-12-04,0
10,2023-12-04 10:00:00,1402/09/12,0,PO,3,19,4.0,16.2,9.1,,0.0,,2023-12-04,0
11,2023-12-04 11:00:00,1402/09/12,0,PO,3,22,4.0,16.2,9.1,,0.0,,2023-12-04,0
12,2023-12-04 12:00:00,1402/09/12,0,PO,3,24,10.0,16.2,9.1,,0.0,,2023-12-04,0
13,2023-12-04 13:00:00,1402/09/12,0,PO,3,25,10.0,16.2,9.1,,0.0,,2023-12-04,0
14,2023-12-04 14:00:00,1402/09/12,0,PO,3,25,12.0,16.2,9.1,,0.0,,2023-12-04,0
15,2023-12-04 15:00:00,1402/09/12,0,PO,3,24,19.0,16.2,9.1,,0.0,,2023-12-04,0
16,2023-12-04 16:00:00,1402/09/12,0,PO,3,20,28.0,16.2,9.1,,0.0,,2023-12-04,0
17,2023-12-04 17:00:00,1402/09/12,0,PO,3,16,36.0,16.2,9.1,,0.0,,2023-12-04,0
18,2023-12-04 18:00:00,1402/09/12,0,PO,3,15,38.0,16.2,9.1,,0.0,,2023-12-04,0
19,2023-12-04 19:00:00,1402/09/12,0,PO,3,13,40.0,16.2,9.1,,0.0,,2023-12-04,0
20,2023-12-04 20:00:00,1402/09/12,0,PO,3,11,45.0,16.2,9.1,,0.0,,2023-12-04,0
21,2023-12-04 21:00:00,1402/09/12,0,PO,3,11,54.0,16.2,9.1,,0.0,,2023-12-04,0
22,2023-12-04 22:00:00,1402/09/12,0,PO,3,10,52.0,16.2,9.1,,0.0,,2023-12-04,0
23,2023-12-04 23:00:00,1402/09/13,0,PO,3,9,52.0,16.2,9.1,,0.0,,2023-12-04,0
0,2023-12-05 00:00:00,1402/09/13,0,PO,3,8,63.0,11.1,9.6,,0.0,,2023-12-05,0
1,2023-12-05 01:00:00,1402/09/13,0,PO,3,8,62.0,11.1,9.6,,0.0,,2023-12-05,0
2,2023-12-05 02:00:00,1402/09/13,0,PO,3,7,63.0,11.1,9.6,,0.0,,2023-12-05,0
3,2023-12-05 03:00:00,1402/09/13,0,PO,3,7,66.0,11.1,9.6,,0.0,,2023-12-05,0
4,2023-12-05 04:00:00,1402/09/13,0,PO,3,7,58.0,11.1,9.6,,0.0,,2023-12-05,0
5,2023-12-05 05:00:00,1402/09/13,0,PO,3,7,55.0,11.1,9.6,,0.0,,2023-12-05,0
6,2023-12-05 06:00:00,1402/09/13,0,PO,3,6,58.0,11.1,9.6,,0.0,,2023-12-05,0
7,2023-12-05 07:00:00,1402/09/13,0,PO,3,8,57.0,11.1,9.6,,0.0,,2023-12-05,0
8,2023-12-05 08:00:00,1402/09/13,0,PO,3,11,30.0,11.1,9.6,,0.0,,2023-12-05,0
9,2023-12-05 09:00:00,1402/09/13,0,PO,3,16,12.0,11.1,9.6,,0.0,,2023-12-05,0
10,2023-12-05 10:00:00,1402/09/13,0,PO,3,18,10.0,11.1,9.6,,0.0,,2023-12-05,0
11,2023-12-05 11:00:00,1402/09/13,0,PO,3,20,11.0,11.1,9.6,,0.0,,2023-12-05,0
12,2023-12-05 12:00:00,1402/09/13,0,PO,3,22,11.0,11.1,9.6,,0.0,,2023-12-05,0
13,2023-12-05 13:00:00,1402/09/13,0,PO,3,24,12.0,11.1,9.6,,0.0,,2023-12-05,0
