ID_NO,HOUR,DATE_MILADI,DATE_SHAMSI,POWER,CODE,UNIT_NO,ID_EBRAZ,DAMA,ROTOOBAT,TOTAL,TIMESTAMPS,12209_G13,12210_G13,ebraz,DATE,MA
1348611,0,12/1/2023 0:00,1402/09/10,0,PO,3,1261708,8,73,814,00:01.7,16.2,9.1,0,12/1/2023,0
1348588,1,12/1/2023 1:00,1402/09/10,0,PO,3,1261685,9,93,843,00:01.7,16.2,9.1,0,12/1/2023,0
1348589,2,12/1/2023 2:00,1402/09/10,0,PO,3,1261686,9,92,846,00:01.7,16.2,9.1,0,12/1/2023,0
1348590,3,12/1/2023 3:00,1402/09/10,0,PO,3,1261687,8,93,833,00:01.7,16.2,9.1,0,12/1/2023,0
1348591,4,12/1/2023 4:00,1402/09/10,0,PO,3,1261688,7,90,838,00:01.7,16.2,9.1,0,12/1/2023,0
1348592,5,12/1/2023 5:00,1402/09/10,0,PO,3,1261689,6,91,846,00:01.7,16.2,9.1,0,12/1/2023,0
1348593,6,12/1/2023 6:00,1402/09/10,0,PO,3,1261690,6,95,847,00:01.7,16.2,9.1,0,12/1/2023,0
1348594,7,12/1/2023 7:00,1402/09/10,0,PO,3,1261691,6,96,843,00:01.7,16.2,9.1,0,12/1/2023,0
1348595,8,12/1/2023 8:00,1402/09/10,0,PO,3,1261692,9,67,861,00:01.7,16.2,9.1,0,12/1/2023,0
1348596,9,12/1/2023 9:00,1402/09/10,0,PO,3,1261693,15,10,706,00:01.7,16.2,9.1,0,12/1/2023,0
1348597,10,12/1/2023 10:00,1402/09/10,0,PO,3,1261694,17,9,685,00:01.7,16.2,9.1,0,12/1/2023,0
1348598,11,12/1/2023 11:00,1402/09/10,0,PO,3,1261695,20,9,676,00:01.7,16.2,9.1,0,12/1/2023,0
1348599,12,12/1/2023 12:00,1402/09/10,0,PO,3,1261696,23,9,673,00:01.7,16.2,9.1,0,12/1/2023,0
1348600,13,12/1/2023 13:00,1402/09/10,0,PO,3,1261697,23,7,654,00:01.7,16.2,9.1,0,12/1/2023,0
1348601,14,12/1/2023 14:00,1402/09/10,0,PO,3,1261698,23,10,651,00:01.7,16.2,9.1,0,12/1/2023,0
1348602,15,12/1/2023 15:00,1402/09/10,0,PO,3,1261699,24,12,672,00:01.7,16.2,9.1,0,12/1/2023,0
1348603,16,12/1/2023 16:00,1402/09/10,0,PO,3,1261700,22,21,717,00:01.7,16.2,9.1,0,12/1/2023,0
1348604,17,12/1/2023 17:00,1402/09/10,0,PO,3,1261701,18,30,811,00:01.7,16.2,9.1,0,12/1/2023,0
1348605,18,12/1/2023 18:00,1402/09/10,0,PO,3,1261702,15,40,793,00:01.7,16.2,9.1,0,12/1/2023,0
1348606,19,12/1/2023 19:00,1402/09/10,0,PO,3,1261703,14,54,800,00:01.7,16.2,9.1,0,12/1/2023,0
1348607,20,12/1/2023 20:00,1402/09/10,0,PO,3,1261704,13,65,812,00:01.7,16.2,9.1,0,12/1/2023,0
1348608,21,12/1/2023 21:00,1402/09/10,0,PO,3,1261705,11,68,813,00:01.7,16.2,9.1,0,12/1/2023,0
1348609,22,12/1/2023 22:00,1402/09/10,0,PO,3,1261706,9,73,809,00:01.7,16.2,9.1,0,12/1/2023,0
1348610,23,12/1/2023 23:00,1402/09/10,0,PO,3,1261707,9,71,813,00:01.7,16.2,9.1,0,12/1/2023,0
1349691,0,12/2/2023 0:00,1402/09/11,0,PO,3,1261924,8,62,874,00:01.7,16.2,9.1,0,12/2/2023,0
1349668,1,12/2/2023 1:00,1402/09/11,0,PO,3,1261901,8,74,802,00:01.7,16.2,9.1,0,12/2/2023,0
1349669,2,12/2/2023 2:00,1402/09/11,0,PO,3,1261902,7,76,803,00:01.7,16.2,9.1,0,12/2/2023,0
1349670,3,12/2/2023 3:00,1402/09/11,0,PO,3,1261903,7,76,813,00:01.7,16.2,9.1,0,12/2/2023,0
1349671,4,12/2/2023 4:00,1402/09/11,0,PO,3,1261904,6,84,809,00:01.7,16.2,9.1,0,12/2/2023,0
1349672,5,12/2/2023 5:00,1402/09/11,0,PO,3,1261905,5,83,809,00:01.7,16.2,9.1,0,12/2/2023,0
1349673,6,12/2/2023 6:00,1402/09/11,0,PO,3,1261906,5,80,810,00:01.7,16.2,9.1,0,12/2/2023,0
1349674,7,12/2/2023 7:00,1402/09/11,0,PO,3,1261907,5,82,814,00:01.7,16.2,9.1,0,12/2/2023,0
1349675,8,12/2/2023 8:00,1402/09/11,0,PO,3,1261908,9,57,808,00:01.7,16.2,9.1,0,12/2/2023,0
1349676,9,12/2/2023 9:00,1402/09/11,0,PO,3,1261909,13,12,843,00:01.7,16.2,9.1,0,12/2/2023,0
1349677,10,12/2/2023 10:00,1402/09/11,0,PO,3,1261910,16,5,811,00:01.7,16.2,9.1,0,12/2/2023,0
1349678,11,12/2/2023 11:00,1402/09/11,0,PO,3,1261911,19,8,805,00:01.7,16.2,9.1,0,12/2/2023,0
