HOUR,DATE_MILADI,DATE_SHAMSI,POWER,CODE,UNIT_NO,DAMA,ROTOOBAT,12209_G13,12210_G13,ebraz,importance_factor,year,month,dayofweek,DECLARED
24,12/31/2023 0:00,1402/10/10,30,SO,3,13.5,58.5,9.35,7.95,0,1.5,2024,1,0,0
13,12/31/2023 13:00,1402/10/10,55,PO,3,14.5,54.5,8.9,7.8,0,1.5,2024,1,0,0
14,12/31/2023 14:00,1402/10/10,67.5,PO,3,14.5,57,8.9,7.8,0,1.5,2024,1,0,0
15,12/31/2023 15:00,1402/10/10,67.5,PO,3,13.5,57.5,8.9,7.8,0,1.5,2024,1,0,0
16,12/31/2023 16:00,1402/10/10,68,PO,3,13,63,8.9,7.8,0,1.5,2024,1,0,0
17,12/31/2023 17:00,1402/10/10,133,SO,3,11.5,73,8.9,7.8,0,1.5,2024,1,0,0
18,12/31/2023 18:00,1402/10/10,133,SO,3,10.5,79,8.9,7.8,0,2.5,2024,1,0,0
19,12/31/2023 19:00,1402/10/10,130.5,SO,3,9.5,81.5,9,7.8,0,2.5,2024,1,0,0
20,12/31/2023 20:00,1402/10/10,88.5,SO,3,10.5,76.5,9,7.8,0,2.5,2024,1,0,0
9,1/1/2024 9:00,1402/10/11,78,SO,3,12,62.5,9,7.8,121.1,1,2024,1,0,0
22,12/31/2023 22:00,1402/10/10,78,SO,3,12.5,46.5,9,7.8,0,1.5,2024,1,0,0
11,1/1/2024 11:00,1402/10/11,81,SO,3,13.5,47,8.2,7.7,117.8,1.5,2024,1,0,0
24,1/1/2024 0:00,1402/10/11,95,SO,3,13,48.5,8.2,7.7,127.8,1.5,2024,1,1,0
13,1/1/2024 13:00,1402/10/11,90,SO,3,13,61.5,8,8.1,117,1.5,2024,1,1,0
2,1/2/2024 2:00,1402/10/12,87.5,SO,3,12.5,69.5,8,8.1,126.2,1,2024,1,1,0
3,1/2/2024 3:00,1402/10/12,87.5,SO,3,12,68,7.45,7.4,126.2,1,2024,1,1,0
4,1/2/2024 4:00,1402/10/12,87.5,SO,3,11,70,7.45,7.4,126.2,1,2024,1,1,0
17,1/1/2024 17:00,1402/10/11,87.5,SO,3,10.5,74,7.45,7.4,122.8,1.5,2024,1,1,0
6,1/2/2024 6:00,1402/10/12,87.5,SO,3,10,79.5,7.45,7.4,127,1,2024,1,1,0
19,1/1/2024 19:00,1402/10/11,87.5,SO,3,8.5,82.5,7.25,7.25,125.3,2.5,2024,1,1,0
20,1/1/2024 20:00,1402/10/11,90,SO,3,9.5,79,7.25,7.25,126.1,2.5,2024,1,1,0
9,1/2/2024 9:00,1402/10/12,91,SO,3,11.5,48,7.25,7.25,128.7,1,2024,1,1,0
10,1/2/2024 10:00,1402/10/12,94.5,LG3,3,12,50,7.25,7.25,127.8,1.5,2024,1,1,0
23,1/1/2024 23:00,1402/10/11,91,SO,3,12,46,7.1,7.05,127.8,1.5,2024,1,1,68.99999897
12,1/2/2024 12:00,1402/10/12,42.5,LG3,3,12.5,49,7.1,7.05,127,1.5,2024,1,2,35.00000051
1,1/3/2024 1:00,1402/10/13,42.5,FQ,3,13,54,7.8,7.6,126.2,1,2024,1,2,5.22E-07
2,1/3/2024 2:00,1402/10/13,42.5,FQ,3,13,56,7.8,7.6,126.2,1,2024,1,2,1.16E-22
3,1/3/2024 3:00,1402/10/13,42.5,FQ,3,12.5,54.5,7.8,7.65,126.2,1,2024,1,2,2.57E-38
4,1/3/2024 4:00,1402/10/13,42.5,FQ,3,12.5,69,7.8,7.65,126.2,1,2024,1,2,5.71E-54
5,1/3/2024 5:00,1402/10/13,42.5,FQ,3,11.5,74.5,7.8,7.65,127,1,2024,1,2,49.99999925
6,1/3/2024 6:00,1402/10/13,50,FQ,3,10.5,75,7.8,7.65,127,1,2024,1,2,50
19,1/2/2024 19:00,1402/10/12,50,LG3,3,11,74,8.6,8.2,123.8,2.5,2024,1,2,71.49999968
20,1/2/2024 20:00,1402/10/12,50,LG3,3,10,76.5,8.6,8.2,124.7,2.5,2024,1,2,71.00000001
21,1/2/2024 21:00,1402/10/12,50,LG3,3,12,55,8.6,8.2,124.7,2.5,2024,1,2,71
10,1/3/2024 10:00,1402/10/13,50,FQ,3,13,44.5,8.6,8.2,127.8,1.5,2024,1,2,71
23,1/2/2024 23:00,1402/10/12,50,LG3,3,12.5,47,8.6,8.2,124.7,1.5,2024,1,2,71
12,1/3/2024 12:00,1402/10/13,0,FQ,3,12.5,57.5,8.6,8.2,127,1.5,2024,1,3,30.00000061
1,1/4/2024 1:00,1402/10/14,0,FQ,3,13.5,58.5,6.7,6.9,126.2,1,2024,1,3,54.99999963
