HOUR,DATE_MILADI,DATE_SHAMSI,POWER,CODE,UNIT_NO,DAMA,ROTOOBAT,12209_G13,12210_G13,ebraz,importance_factor,year,month,dayofweek,DECLARED
24,2024-01-01 00:00:00,1402/10/11,90,SO,3,8.0,88.0,7.6,6.3,127.8,1.5,2024,1,0,68.06016540527344
1,2024-01-01 01:00:00,1402/10/11,110,SO,3,9.0,89.0,10.2,9.3,127.8,1.0,2024,1,0,86.81072235107422
2,2024-01-01 02:00:00,1402/10/11,135,SO,3,9.0,90.0,10.2,9.3,128.6,1.0,2024,1,0,95.97480773925781
3,2024-01-01 03:00:00,1402/10/11,135,SO,3,8.0,90.0,10.2,9.3,128.6,1.0,2024,1,0,95.38150024414062
4,2024-01-01 04:00:00,1402/10/11,136,SO,3,7.0,91.0,10.2,9.3,128.6,1.0,2024,1,0,104.72917938232422
5,2024-01-01 05:00:00,1402/10/11,136,SO,3,6.0,93.0,10.2,9.3,129.5,1.0,2024,1,0,101.45491027832031
6,2024-01-01 06:00:00,1402/10/11,136,SO,3,6.0,96.0,10.2,9.3,129.5,1.0,2024,1,0,100.0482406616211
7,2024-01-01 07:00:00,1402/10/11,136,SO,3,6.0,96.0,10.4,9.3,127.8,1.0,2024,1,0,102.10934448242188
8,2024-01-01 08:00:00,1402/10/11,137,SO,3,8.0,84.0,10.4,9.3,123.6,1.0,2024,1,0,104.87028503417969
9,2024-01-01 09:00:00,1402/10/11,126,SO,3,13.0,47.0,10.4,9.3,121.1,1.0,2024,1,0,102.47901153564453
10,2024-01-01 10:00:00,1402/10/11,126,SO,3,14.0,10.0,10.4,9.3,119.5,1.5,2024,1,0,99.31250762939453
11,2024-01-01 11:00:00,1402/10/11,122,SO,3,17.0,7.0,8.8,9.1,117.8,1.5,2024,1,0,99.21407318115234
12,2024-01-01 12:00:00,1402/10/11,100,SO,3,18.0,9.0,8.8,9.1,117.0,1.5,2024,1,0,97.9024887084961
13,2024-01-01 13:00:00,1402/10/11,90,SO,3,18.0,35.0,8.8,9.1,117.0,1.5,2024,1,0,93.53550720214844
14,2024-01-01 14:00:00,1402/10/11,90,SO,3,18.0,49.0,8.8,9.1,117.8,1.5,2024,1,0,67.86270904541016
15,2024-01-01 15:00:00,1402/10/11,90,SO,3,18.0,42.0,7.5,7.4,118.6,1.5,2024,1,0,79.5667495727539
16,2024-01-01 16:00:00,1402/10/11,90,SO,3,17.0,45.0,7.5,7.4,120.3,1.5,2024,1,0,81.1982192993164
17,2024-01-01 17:00:00,1402/10/11,90,SO,3,16.0,55.0,7.5,7.4,122.8,1.5,2024,1,0,89.27179718017578
18,2024-01-01 18:00:00,1402/10/11,90,SO,3,15.0,64.0,7.5,7.4,124.5,2.5,2024,1,0,86.73521423339844
19,2024-01-01 19:00:00,1402/10/11,90,SO,3,13.0,71.0,6.8,7.0,125.3,2.5,2024,1,0,84.21778869628906
20,2024-01-01 20:00:00,1402/10/11,90,SO,3,13.0,78.0,6.8,7.0,126.1,2.5,2024,1,0,84.65327453613281
21,2024-01-01 21:00:00,1402/10/11,90,SO,3,11.0,84.0,6.8,7.0,126.1,2.5,2024,1,0,88.01318359375
22,2024-01-01 22:00:00,1402/10/11,90,SO,3,10.0,88.0,6.8,7.0,127.0,1.5,2024,1,0,84.07777404785156
23,2024-01-01 23:00:00,1402/10/11,90,SO,3,8.0,84.0,7.2,7.1,127.8,1.5,2024,1,0,84.22579193115234
24,2024-01-02 00:00:00,1402/10/12,0,FQ,3,8.0,88.0,7.2,7.1,124.7,1.5,2024,1,1,84.66117095947266
1,2024-01-02 01:00:00,1402/10/12,90,SO,3,8.0,88.0,7.2,7.1,126.2,1.0,2024,1,1,18.635177612304688
2,2024-01-02 02:00:00,1402/10/12,85,SO,3,7.0,90.0,7.2,7.1,126.2,1.0,2024,1,1,69.22059631347656
3,2024-01-02 03:00:00,1402/10/12,85,SO,3,6.0,94.0,7.4,7.4,126.2,1.0,2024,1,1,74.10004425048828
4,2024-01-02 04:00:00,1402/10/12,85,SO,3,5.0,95.0,7.4,7.4,126.2,1.0,2024,1,1,66.03824615478516
5,2024-01-02 05:00:00,1402/10/12,85,SO,3,5.0,93.0,7.4,7.4,127.0,1.0,2024,1,1,73.25562286376953
6,2024-01-02 06:00:00,1402/10/12,85,SO,3,5.0,95.0,7.4,7.4,127.0,1.0,2024,1,1,61.90617752075195
7,2024-01-02 07:00:00,1402/10/12,85,SO,3,4.0,94.0,7.7,7.5,126.2,1.0,2024,1,1,56.555789947509766
8,2024-01-02 08:00:00,1402/10/12,90,SO,3,6.0,80.0,7.7,7.5,125.3,1.0,2024,1,1,64.23313903808594
9,2024-01-02 09:00:00,1402/10/12,92,SO,3,12.0,12.0,7.7,7.5,128.7,1.0,2024,1,1,73.46054077148438
10,2024-01-02 10:00:00,1402/10/12,99,LG3,3,14.0,12.0,7.7,7.5,127.8,1.5,2024,1,1,44.77364730834961
11,2024-01-02 11:00:00,1402/10/12,92,LG3,3,16.0,8.0,7.0,7.0,127.8,1.5,2024,1,1,60.735633850097656
12,2024-01-02 12:00:00,1402/10/12,85,LG3,3,17.0,10.0,7.0,7.0,127.0,1.5,2024,1,1,44.204551696777344
13,2024-01-02 13:00:00,1402/10/12,85,LG3,3,19.0,14.0,7.0,7.0,127.0,1.5,2024,1,1,51.254886627197266
14,2024-01-02 14:00:00,1402/10/12,85,LG3,3,20.0,15.0,7.0,7.0,127.0,1.5,2024,1,1,39.83207321166992
15,2024-01-02 15:00:00,1402/10/12,85,LG3,3,20.0,18.0,7.0,7.1,127.8,1.5,2024,1,1,45.57149887084961
16,2024-01-02 16:00:00,1402/10/12,85,LG3,3,19.0,41.0,7.0,7.1,124.5,1.5,2024,1,1,44.84126281738281
17,2024-01-02 17:00:00,1402/10/12,85,LG3,3,16.0,51.0,7.0,7.1,125.3,1.5,2024,1,1,51.84486770629883
18,2024-01-02 18:00:00,1402/10/12,100,LG3,3,13.0,64.0,7.0,7.1,125.3,2.5,2024,1,1,57.769805908203125
19,2024-01-02 19:00:00,1402/10/12,100,LG3,3,13.0,65.0,8.6,8.2,123.8,2.5,2024,1,1,62.31547164916992
20,2024-01-02 20:00:00,1402/10/12,100,LG3,3,12.0,71.0,8.6,8.2,124.7,2.5,2024,1,1,57.626373291015625
21,2024-01-02 21:00:00,1402/10/12,100,LG3,3,10.0,79.0,8.6,8.2,124.7,2.5,2024,1,1,61.368370056152344
